Name,Base,Sold,Team,Prev_team,Nationality,Role
BEN MCDERMOTT,0.5,0,Nil,Nil,NA,NA
BEYERS SWANEPOEL,0.2,0,Nil,Nil,NA,NA
BHARAT SHARMA,0.2,0,Nil,Nil,NA,NA
BHUPEN LALWANI,0.2,0,Nil,Nil,NA,NA
BILLY STANLAKE,0.75,0,Nil,Nil,NA,NA
BLAIR TICKNER,0.5,0,Nil,Nil,NA,NA
BLESSING MUZARABANI,0.5,0,Nil,Nil,NA,NA
BR SHARATH,0.2,0,Nil,Nil,NA,NA
BRAD WHEAL,0.5,0,Nil,Nil,NA,NA
BRANDON KING,0.5,0,Nil,Nil,NA,NA
CAM FLETCHER,0.2,0,Nil,Nil,NA,NA
CARLOS BRATHWAITE,0.75,0,Nil,Nil,NA,NA
CHAITANYA BISHNOI,0.2,0,Nil,Nil,NA,NA
CHARITH ASALANKA,0.5,0,Nil,Nil,NA,NA
CHEEPURAPALLI STEPHEN,0.2,0,Nil,Nil,NA,NA
CHETESHWAR PUJARA,0.5,0,Nil,CSK,NA,NA
CHINTAL GANDHI,0.2,0,Nil,Nil,NA,NA
CHIRAG GANDHI,0.2,0,Nil,Nil,NA,NA
CHRIS GREEN,0.4,0,Nil,Nil,NA,NA
CHRIS LYNN,1.5,0,Nil,MI,NA,NA
COLIN DE GRANDHOMME,1,0,Nil,Nil,NA,NA
COLIN MUNRO,1.5,0,Nil,Nil,NA,NA
CORBIN BOSCH,0.2,0,Nil,Nil,NA,NA
CRAIG OVERTON,2,0,Nil,Nil,NA,NA
CURTIS CAMPHER,0.5,0,Nil,Nil,NA,NA
D FERREIRA,0.2,0,Nil,Nil,NA,NA
DANUSHKA GUNATHILAKA,0.5,0,Nil,Nil,NA,NA
D'ARCY SHORT,1,0,Nil,Nil,NA,NA
DARREN BRAVO,0.75,0,Nil,Nil,NA,NA
DARYN DUPAVILLON,0.5,0,Nil,Nil,NA,NA
DASUN SHANAKA,0.5,0,Nil,Nil,NA,NA
DAVID WIESE,0.5,0,Nil,Nil,NA,NA
DAWID MALAN,1.5,0,Nil,PBKS,NA,NA
DEV LAKRA,0.2,0,Nil,Nil,NA,NA
DHANANJAYA LAKSHAN,0.5,0,Nil,Nil,NA,NA
DHARMENDRASINH JADEJA,0.2,0,Nil,Nil,NA,NA
DHAWAL KULKARNI,0.75,0,Nil,MI,NA,NA
DHRUSHANT SONI,0.2,0,Nil,Nil,NA,NA
DHRUV PATEL,0.2,0,Nil,Nil,NA,NA
DHRUV SHOREY,0.2,0,Nil,Nil,NA,NA
DIKSHANSHU NEGI,0.2,0,Nil,Nil,NA,NA
DIVYANG HINGANEKAR,0.2,0,Nil,Nil,NA,NA
DIWESH PATHANIA,0.2,0,Nil,Nil,NA,NA
DUAN JANSEN,0.2,0,Nil,Nil,NA,NA
DUNITH WELLALAGE,0.2,0,Nil,Nil,NA,NA
EKNATH KERKAR,0.2,0,Nil,Nil,NA,NA
EOIN MORGAN,1.5,0,Nil,KKR,NA,NA
FAZIL RASHID,0.2,0,Nil,Nil,NA,NA
FIDEL EDWARDS,0.5,0,Nil,Nil,NA,NA
GANESHAN PERIYASWAMY,0.2,0,Nil,Nil,NA,NA
GARETH DELANY,0.5,0,Nil,Nil,NA,NA
GEORGE GARTON,0.5,0,Nil,RCB,NA,NA
GERALD COETZEE,0.2,0,Nil,RR,NA,NA
GIRINATH REDDY,0.2,0,Nil,Nil,NA,NA
GOWTHAM V,0.2,0,Nil,Nil,NA,NA
GULBADIN NAIB,0.5,0,Nil,Nil,NA,NA
GURNOOR BRAR,0.2,0,Nil,Nil,NA,NA
HAMID HASSAN,0.5,0,Nil,Nil,NA,NA
HAMISH BENNETT,0.5,0,Nil,Nil,NA,NA
HANUMA VIHARI,0.5,0,Nil,Nil,NA,NA
HARDIK TAMORE,0.2,0,Nil,Nil,NA,NA
HARISHANKAR REDDY,0.2,0,Nil,CSK,NA,NA
HARNOOR SINGH,0.2,0,Nil,Nil,NA,NA
HARPREET SINGH BHATIA,0.4,0,Nil,Nil,NA,NA
HARSH TYAGI,0.2,0,Nil,Nil,NA,NA
HARVIK DESAI,0.2,0,Nil,Nil,NA,NA
HASHMATULLAH SHAHIDI,0.5,0,Nil,Nil,NA,NA
HAYDEN KERR,0.2,0,Nil,Nil,NA,NA
HAYDEN WALSH,0.5,0,Nil,Nil,NA,NA
HAZRATULLAH ZAZAI,0.5,0,Nil,Nil,NA,NA
HEINRICH KLAASEN,0.5,0,Nil,Nil,NA,NA
HENAN NAZIR,0.2,0,Nil,Nil,NA,NA
HENRY SHIPLEY,0.2,0,Nil,Nil,NA,NA
HILTON CARTWRIGHT,0.5,0,Nil,Nil,NA,NA
HIMANSHU RANA,0.2,0,Nil,Nil,NA,NA
HIMMAT SINGH,0.2,0,Nil,Nil,NA,NA
HITEN DALAL,0.2,0,Nil,Nil,NA,NA
IMRAN TAHIR,2,0,Nil,CSK,NA,NA
ISH SODHI,0.5,0,Nil,Nil,NA,NA
ISHAN AFRIDI,0.2,0,Nil,Nil,NA,NA
ISHANK JAGGI,0.2,0,Nil,Nil,NA,NA
ISHANT SHARMA,1.5,0,Nil,DC,NA,NA
ISURU UDANA,0.5,0,Nil,Nil,NA,NA
IZHARULHAQ NAVEED,0.2,0,Nil,Nil,NA,NA
JACK WILDERMUTH,0.5,0,Nil,Nil,NA,NA
JAGATHEESAN KOUSIK,0.2,0,Nil,Nil,NA,NA
JAIDEEP BHAMBHU,0.2,0,Nil,Nil,NA,NA
JAKE LINTOTT,0.2,0,Nil,Nil,NA,NA
JAKE WEATHERALD,0.2,0,Nil,Nil,NA,NA
JALAJ SAXENA,0.3,0,Nil,PBKS,NA,NA
JAMES FAULKNER,1,0,Nil,Nil,NA,NA
JAMES VINCE,2,0,Nil,Nil,NA,NA
JANNEMAN MALAN,0.5,0,Nil,Nil,NA,NA
JASMER DHANKHAR,0.2,0,Nil,Nil,NA,NA
JASON SANGHA,0.2,0,Nil,Nil,NA,NA
JAY BISTA,0.2,0,Nil,Nil,NA,NA
JAYDEN SEALES,0.5,0,Nil,Nil,NA,NA
JITENDER PAL,0.2,0,Nil,Nil,NA,NA
JJ SMIT,0.2,0,Nil,Nil,NA,NA
JOEL PARIS,0.5,0,Nil,Nil,NA,NA
JOHAN VAN DYK,0.2,0,Nil,Nil,NA,NA
JON-RUSS JAGGESAR,0.2,0,Nil,Nil,NA,NA
JONTY SIDHU,0.2,0,Nil,Nil,NA,NA
JOSH LITTLE,0.5,0,Nil,Nil,NA,NA
JOSH PHILIPPE,1,0,Nil,RCB,NA,NA
KAIF AHMED,0.2,0,Nil,Nil,NA,NA
KANE RICHARDSON,1.5,0,Nil,RCB,NA,NA
KARIM JANAT,0.5,0,Nil,Nil,NA,NA
KARTIKEYA KAK,0.2,0,Nil,Nil,NA,NA
KAUSHAL TAMBE,0.2,0,Nil,Nil,NA,NA
KEDAR DEVDHAR,0.2,0,Nil,Nil,NA,NA
KEDAR JADHAV,1,0,Nil,SRH,NA,NA
KEEMO PAUL,0.75,0,Nil,Nil,NA,NA
KENNAR LEWIS,0.4,0,Nil,Nil,NA,NA
KESHAV MAHARAJ,0.5,0,Nil,Nil,NA,NA
KEVIN KOTHTHIGODA,0.2,0,Nil,Nil,NA,NA
KHIZER DAFEDAR,0.2,0,Nil,Nil,NA,NA
KHRIEVITSO KENSE,0.2,0,Nil,Nil,NA,NA
KHWEZI GUMEDE,0.2,0,Nil,Nil,NA,NA
KISHAN KUMAR,0.2,0,Nil,Nil,NA,NA
KRISHNAN SHRIJITH,0.2,0,Nil,Nil,NA,NA
KULWANT KHEJROLIYA,0.2,0,Nil,Nil,NA,NA
KUMAR KARTIKEYA,0.2,0,Nil,Nil,NA,NA
KURTIS PATTERSON,0.5,0,Nil,Nil,NA,NA
KUSAL MENDIS,0.5,0,Nil,Nil,NA,NA
KUSAL PERERA,0.5,0,Nil,Nil,NA,NA
KUSHAL WADHWANI,0.2,0,Nil,Nil,NA,NA
KV SASIKANTH,0.2,0,Nil,Nil,NA,NA
LAHIRU KUMARA,0.5,0,Nil,Nil,NA,NA
LAKHAN RAJA,0.2,0,Nil,Nil,NA,NA
LALIT YADAV,0.2,0,Nil,Nil,NA,NA
LANCE MORRIS,0.2,0,Nil,Nil,NA,NA
LAURIE EVANS,0.4,0,Nil,Nil,NA,NA
LEWIS GREGORY,1.5,0,Nil,Nil,NA,NA
LIAM GUTHRIE,0.2,0,Nil,Nil,NA,NA
LIAM HATCHER,0.2,0,Nil,Nil,NA,NA
LITON DAS,0.5,0,Nil,Nil,NA,NA
LUKMAN MERIWALA,0.2,0,Nil,DC,NA,NA
M MOHAMMED,0.2,0,Nil,Nil,NA,NA
M VENKATESH,0.2,0,Nil,Nil,NA,NA
MANAV SUTHAR,0.2,0,Nil,Nil,NA,NA
MANIMARAN SIDDHARTH,0.2,0,Nil,DC,NA,NA
MANISH REDDY,0.2,0,Nil,Nil,NA,NA
MANOJ BHANDAGE,0.2,0,Nil,Nil,NA,NA
MANOJ TIWARY,0.5,0,Nil,Nil,NA,NA
MARCHANT DE LANGE,2,0,Nil,Nil,NA,NA
MARK ADAIR,0.5,0,Nil,Nil,NA,NA
MARK DEYAL,0.2,0,Nil,Nil,NA,NA
MARNUS LABUSCHAGNE,1,0,Nil,Nil,NA,NA
MARTIN GUPTILL,0.75,0,Nil,Nil,NA,NA
MATHEESHA PATHIRANA,0.2,0,Nil,Nil,NA,NA
MATTHEW KELLY,0.3,0,Nil,Nil,NA,NA
MATTHEW WILLIAM SHORT,0.2,0,Nil,Nil,NA,NA
MAXWELL SWAMINATHAN,0.2,0,Nil,Nil,NA,NA
MAYANK DAGAR,0.2,0,Nil,Nil,NA,NA
MAYANK RAWAT,0.2,0,Nil,Nil,NA,NA
MB DARSHAN,0.2,0,Nil,Nil,NA,NA
MD NIDHEESH,0.2,0,Nil,Nil,NA,NA
MICKIL JAISWAL,0.2,0,Nil,Nil,NA,NA
MIGAEL PRETORIUS,0.2,0,Nil,Nil,NA,NA
MIHIR HIRWANI,0.2,0,Nil,Nil,NA,NA
MILIND TANDON,0.2,0,Nil,Nil,NA,NA
MOHAMMED AFRIDI,0.2,0,Nil,Nil,NA,NA
MOHAMMED AZHARUDDEEN,0.2,0,Nil,RCB,NA,NA
MOHIT AVASTHI,0.2,0,Nil,Nil,NA,NA
MOHIT JANGRA,0.2,0,Nil,Nil,NA,NA
MOHIT SHARMA,0.5,0,Nil,Nil,NA,NA
MOISES HENRIQUES,1,0,Nil,PBKS,NA,NA
MONU KUMAR,0.2,0,Nil,Nil,NA,NA
MUJEEB UR RAHMAN,2,0,Nil,SRH,NA,NA
MUJTABA YOUSUF,0.2,0,Nil,Nil,NA,NA
MUKESH KUMAR,0.2,0,Nil,Nil,NA,NA
MURALI VIJAY,0.5,0,Nil,Nil,NA,NA
NAJIBULLAH ZADRAN,0.5,0,Nil,Nil,NA,NA
NANDRE BURGER,0.2,0,Nil,Nil,NA,NA
NASIR LONE,0.2,0,Nil,Nil,NA,NA
NATHAN MCANDREW,0.2,0,Nil,Nil,NA,NA
NAUSHAD SHAIKH,0.2,0,Nil,Nil,NA,NA
NAVEEN-UL-HAQ,0.5,0,Nil,Nil,NA,NA
NEIL WAGNER,0.5,0,Nil,Nil,NA,NA
NIDHISH RAJAGOPAL,0.2,0,Nil,Nil,NA,NA
NIKHIL GANGTA,0.2,0,Nil,Nil,NA,NA
NIKHIL NAIK,0.2,0,Nil,Nil,NA,NA
NINAD RATHVA,0.2,0,Nil,Nil,NA,NA
NIROSHAN DICKWELLA,0.5,0,Nil,Nil,NA,NA
NITISH KUMAR REDDY,0.2,0,Nil,Nil,NA,NA
NIVETHAN RADHAKRISHNAN,0.2,0,Nil,Nil,NA,NA
NUWAN THUSHARA,0.2,0,Nil,Nil,NA,NA
NYEEM YOUNG,0.2,0,Nil,Nil,NA,NA
OSHANE THOMAS,0.5,0,Nil,RR,NA,NA
OTTNIEL BAARTMAN,0.2,0,Nil,Nil,NA,NA
PANKAJ JASWAL,0.2,0,Nil,Nil,NA,NA
PARDEEP SAHU,0.2,0,Nil,Nil,NA,NA
PARTH SAHANI,0.2,0,Nil,Nil,NA,NA
PARVEZ RASOOL,0.5,0,Nil,Nil,NA,NA
PATHUM NISSANKA,0.5,0,Nil,Nil,NA,NA
PAUL STIRLING,0.5,0,Nil,Nil,NA,NA
PAWAN NEGI,0.5,0,Nil,KKR,NA,NA
PIYUSH CHAWLA,1,0,Nil,MI,NA,NA
PRADOSH RANJAN PAUL,0.2,0,Nil,Nil,NA,NA
PRANSHU VIJAYRAN,0.2,0,Nil,Nil,NA,NA
PRASHANT CHOPRA,0.2,0,Nil,Nil,NA,NA
PRATYUSH SINGH,0.2,0,Nil,Nil,NA,NA
PRAYAS RAY BARMAN,0.2,0,Nil,Nil,NA,NA
PRERIT AGRAWAL,0.2,0,Nil,Nil,NA,NA
PRERIT DUTTA,0.2,0,Nil,Nil,NA,NA
PRINCE BALWANT RAI,0.2,0,Nil,Nil,NA,NA
PRITHVI RAJ,0.2,0,Nil,Nil,NA,NA
PRIYANK PANCHAL,0.2,0,Nil,Nil,NA,NA
PUKHRAJ MANN,0.2,0,Nil,Nil,NA,NA
PULKIT NARANG,0.2,0,Nil,Nil,NA,NA
PURNANK TYAGI,0.2,0,Nil,Nil,NA,NA
PUSHPENDRA SINGH RATHORE,0.2,0,Nil,Nil,NA,NA
QAIS AHMAD,0.5,0,Nil,Nil,NA,NA
QAMRAN IQBAL,0.2,0,Nil,Nil,NA,NA
R ALEXANDER,0.2,0,Nil,Nil,NA,NA
RAGUPATHY SILAMBARASAN,0.2,0,Nil,Nil,NA,NA
RAHMANULLAH GURBAZ,0.5,0,Nil,Nil,NA,NA
RAHUL CHANDROL,0.2,0,Nil,Nil,NA,NA
RAHUL SHARMA,0.5,0,Nil,Nil,NA,NA
RAHUL SHUKLA,0.2,0,Nil,Nil,NA,NA
RAHUL SINGH,0.2,0,Nil,Nil,NA,NA
RAJAT PATIDAR,0.2,0,Nil,RCB,NA,NA
RAJENDRAN VIVEK,0.2,0,Nil,Nil,NA,NA
RAKSHANN READDI,0.2,0,Nil,Nil,NA,NA
RAVI CHAUHAN,0.2,0,Nil,Nil,NA,NA
RAVI SHARMA,0.2,0,Nil,Nil,NA,NA
RAYMON REIFER,0.5,0,Nil,Nil,NA,NA
REECE TOPLEY,0.75,0,Nil,Nil,NA,NA
RICKY BHUI,0.2,0,Nil,Nil,NA,NA
RILEE ROSSOUW,1,0,Nil,Nil,NA,NA
RITWIK ROY CHOWDHURY,0.2,0,Nil,Nil,NA,NA
ROHAN KADAM,0.2,0,Nil,Nil,NA,NA
ROHAN KUNNUMMAL,0.2,0,Nil,Nil,NA,NA
ROHAN RANA,0.2,0,Nil,Nil,NA,NA
RONIT MORE,0.2,0,Nil,Nil,NA,NA
ROOSH KALARIA,0.2,0,Nil,MI,NA,NA
ROSTON CHASE,1,0,Nil,Nil,NA,NA
RUBEN TRUMPELMANN,0.2,0,Nil,Nil,NA,NA
RYAN JOHN,0.2,0,Nil,Nil,NA,NA
RYAN RICKELTON,0.2,0,Nil,Nil,NA,NA
SACHIN BABY,0.2,0,Nil,RCB,NA,NA
SAFVAN PATEL,0.2,0,Nil,Nil,NA,NA
SAFYAAN SHARIF,0.2,0,Nil,Nil,NA,NA
SAGAR TRIVEDI,0.2,0,Nil,Nil,NA,NA
SAGAR UDESHI,0.2,0,Nil,Nil,NA,NA
SAHIL DHIWAN,0.2,0,Nil,Nil,NA,NA
SAIRAJ PATIL,0.2,0,Nil,Nil,NA,NA
SAMARTH VYAS,0.2,0,Nil,Nil,NA,NA
SAMEER RIZVI,0.2,0,Nil,Nil,NA,NA
SAMIT PATEL,0.5,0,Nil,Nil,NA,NA
SANDEEP KUMAR,0.2,0,Nil,Nil,NA,NA
SANDEEP LAMICHHANE,0.4,0,Nil,Nil,NA,NA
SANDEEP WARRIER,0.5,0,Nil,KKR,NA,NA
SANVIR SINGH,0.2,0,Nil,Nil,NA,NA
SAQIB MAHMOOD,2,0,Nil,Nil,NA,NA
SATYAJEET SUNIL BACHHAV,0.2,0,Nil,Nil,NA,NA
SAURABH KUMAR,0.2,0,Nil,PBKS,NA,NA
SAURABH TIWARY,0.5,0,Nil,MI,NA,NA
SAURAV CHAUHAN,0.2,0,Nil,Nil,NA,NA
SAURIN THAKAR,0.2,0,Nil,Nil,NA,NA
SCOTT KUGGELEIJN,0.75,0,Nil,RCB,NA,NA
SEEKKUGE PRASANNA,0.5,0,Nil,Nil,NA,NA
SHAFIQULLAH GHAFARI,0.2,0,Nil,Nil,NA,NA
SHAI HOPE,0.5,0,Nil,Nil,NA,NA
SHAKIB AL HASAN,2,0,Nil,KKR,NA,NA
SHAMARH BROOKS,0.5,0,Nil,Nil,NA,NA
SHAMS MULANI,0.2,0,Nil,DC,NA,NA
SHASHWAT RAWAT,0.2,0,Nil,Nil,NA,NA
SHELDON COTTRELL,0.75,0,Nil,Nil,NA,NA
SHIVAM CHAUHAN,0.2,0,Nil,Nil,NA,NA
SHIVAM SHARMA,0.2,0,Nil,Nil,NA,NA
SHIVAM SHARMA,0.2,0,Nil,Nil,NA,NA
SHIVANK VASHISHT,0.2,0,Nil,Nil,NA,NA
SHORIFUL ISLAM,0.5,0,Nil,Nil,NA,NA
SHOUN ROGER,0.2,0,Nil,Nil,NA,NA
SHREEVATS GOSWAMI,0.2,0,Nil,SRH,NA,NA
SHUBHAM ARORA,0.2,0,Nil,Nil,NA,NA
SHUBHAM KUMAR,0.2,0,Nil,Nil,NA,NA
SHUBHAM RANJANE,0.2,0,Nil,Nil,NA,NA
SHUBHAM ROHILLA,0.2,0,Nil,Nil,NA,NA
SHUBHAM SHARMA,0.2,0,Nil,Nil,NA,NA
SHUBHAM SINGH,0.2,0,Nil,Nil,NA,NA
SHUBHANG HEGDE,0.2,0,Nil,Nil,NA,NA
SIDDHANT SHARMA,0.2,0,Nil,Nil,NA,NA
SIDDHESH WATH,0.2,0,Nil,Nil,NA,NA
SIJOMON JOSEPH,0.2,0,Nil,Nil,NA,NA
SISANDA MAGALA,0.5,0,Nil,Nil,NA,NA
SONU YADAV,0.2,0,Nil,Nil,NA,NA
SREESANTH,0.5,0,Nil,Nil,NA,NA
STEVEN SMITH,2,0,Nil,DC,NA,NA
SUDHESAN MIDHUN,0.2,0,Nil,Nil,NA,NA
SUDIP DIPEN CHATTERJEE,0.2,0,Nil,Nil,NA,NA
SUJIT SURENDRA NAYAK,0.2,0,Nil,Nil,NA,NA
SUMIT KUMAR,0.2,0,Nil,Nil,NA,NA
SURESH RAINA,2,0,Nil,CSK,NA,NA
SUSHANT MISHRA,0.2,0,Nil,Nil,NA,NA
SWARAJ WABALE,0.2,0,Nil,Nil,NA,NA
TABRAIZ SHAMSI,1,0,Nil,RR,NA,NA
TAJINDER SINGH,0.2,0,Nil,Nil,NA,NA
TANAY THYAGARAJAN,0.2,0,Nil,Nil,NA,NA
TANMAY AGARWAL,0.2,0,Nil,Nil,NA,NA
TANMAY MISHRA,0.2,0,Nil,Nil,NA,NA
TANUSH KOTIAN,0.2,0,Nil,Nil,NA,NA
TANVEER SANGHA,0.2,0,Nil,Nil,NA,NA
TARANG GOHEL,0.2,0,Nil,Nil,NA,NA
TASKIN AHMED,0.5,0,Nil,Nil,NA,NA
THISARA PERERA,0.5,0,Nil,Nil,NA,NA
THOMAS ROGERS,0.2,0,Nil,Nil,NA,NA
TM UL-HAQ,0.2,0,Nil,Nil,NA,NA
TODD ASTLE,0.75,0,Nil,Nil,NA,NA
TOM KOHLER-CADMORE,0.4,0,Nil,Nil,NA,NA
UPENDRA YADAV,0.2,0,Nil,Nil,NA,NA
URVIL PATEL,0.2,0,Nil,Nil,NA,NA
USMAN KHAWAJA,1.5,0,Nil,Nil,NA,NA
UTKARSH SINGH,0.2,0,Nil,PBKS,NA,NA
V ATHISAYARAJ DAVIDSON,0.2,0,Nil,Nil,NA,NA
VASU VATS,0.2,0,Nil,Nil,NA,NA
VASUKI KOUSHIK,0.2,0,Nil,Nil,NA,NA
VIDYADHAR PATIL,0.2,0,Nil,Nil,NA,NA
VIPUL KRISHNA,0.2,0,Nil,Nil,NA,NA
VIRAT SINGH,0.2,0,Nil,SRH,NA,NA
VISHNU SOLANKI,0.2,0,Nil,Nil,NA,NA
VIVRANT SHARMA,0.2,0,Nil,Nil,NA,NA
VYSHAK KUMAR,0.2,0,Nil,Nil,NA,NA
WAQAR SALAMKHEIL,0.5,0,Nil,Nil,NA,NA
WAYNE PARNELL,0.5,0,Nil,Nil,NA,NA
WES AGAR,0.5,0,Nil,Nil,NA,NA
YASH NAHAR,0.2,0,Nil,Nil,NA,NA
YASH THAKUR,0.2,0,Nil,Nil,NA,NA
YASHOVARDHAN SINGH,0.2,0,Nil,Nil,NA,NA
YUDHVIR SINGH,0.2,0,Nil,MI,NA,NA
YUVRAJ CHAUDHARY,0.2,0,Nil,Nil,NA,NA
YUVRAJ CHUDASAMA,0.2,0,Nil,Nil,NA,NA
ZAHIR KHAN,0.5,0,Nil,Nil,NA,NA
ZEESHAN ANSARI,0.2,0,Nil,Nil,NA,NA
ZUBAYR HAMZA,0.5,0,Nil,Nil,NA,NA
