player_pkey,Player,Team,Year,isOverseas,isBatsman,isBowler,isWicketKeeper,isCapped,UncappedAndPerformed,base,Amount
159,Manan Vohra,Lucknow Super Giants,2022,0,1,0,0,0,0,0.2,0.2
162,Mandeep Singh,Delhi Capitals,2022,0,1,0,0,0,1,0.5,1.1
62,Manish Pandey,Lucknow Super Giants,2022,0,1,0,0,1,0,1,4.6
666,Marco Jansen,Sunrisers Hyderabad,2022,1,1,1,0,0,0,0.5,4.2
666,Marco Jansen,Mumbai Indians,2021,1,1,1,0,1,0,0.2,0.2
29,Marcus Stoinis,Delhi Capitals,2020,1,1,1,0,1,0,2,4.8
249,Mark Wood,Lucknow Super Giants,2022,1,0,1,0,1,0,2,7.5
390,Matthew Wade,Gujarat Titans,2022,1,0,0,1,1,0,2,2.4
133,Mayank Markande,Mumbai Indians,2022,0,0,1,0,0,0,0.5,0.65
0,Mayank Yadav,Lucknow Super Giants,2022,0,0,1,0,0,0,0.2,0.2
229,Mitchell Marsh,Delhi Capitals,2022,1,1,1,0,1,0,2,6.5
229,Mitchell Marsh,Sunrisers Hyderabad,2020,1,1,1,0,1,0,2,2
51,Mitchell Santner,Chennai Super Kings,2022,1,1,1,0,1,0,1,1.9
12,Moeen Ali,Chennai Super Kings,2021,1,1,1,0,1,0,2,7
75,Mohammad Nabi,Kolkata Knight Riders,2022,1,1,1,0,1,0,1,1
160,Mohammad Shami,Gujarat Titans,2022,0,0,1,0,1,0,2,6.25
2421,Mohammed Azharudeen,Royal Challengers Bangalore,2021,0,0,0,1,0,0,0.2,0.2
2994,Mohd. Arshad Khan,Mumbai Indians,2022,0,1,1,0,0,0,0.2,0.2
38,Mohit Sharma,Delhi Capitals,2020,0,0,1,0,0,0,0.2,0.5
203,Mohsin Khan,Lucknow Super Giants,2022,0,0,1,0,0,1,0.2,0.2
203,Mohsin Khan,Mumbai Indians,2020,0,0,1,0,0,0,0.2,0.2
197,Moises Henriques,Punjab Kings,2021,1,1,1,0,1,0,1,4.2
0,Mujeeb Zadran,Sunrisers Hyderabad,2021,1,0,1,0,1,0,1,1.5
2618,Mukesh Choudhary,Chennai Super Kings,2022,0,0,1,0,0,0,0.2,0.2
189,Murugan Ashwin,Mumbai Indians,2022,0,0,1,0,0,1,0.2,1.6
248,Mustafizur Rahman,Delhi Capitals,2022,1,0,1,0,1,0,2,2
248,Mustafizur Rahman,Rajasthan Royals,2021,1,0,1,0,1,0,1,1
43,N. Jagadeesan,Chennai Super Kings,2022,0,0,0,1,0,0,0.2,0.2
2529,N. Tilak Varma,Mumbai Indians,2022,0,1,1,0,0,1,0.2,1.7
48,Nathan Coulter-Nile,Rajasthan Royals,2022,1,0,1,0,1,0,2,2
48,Nathan Coulter-Nile,Mumbai Indians,2021,1,0,1,0,1,0,2,5
48,Nathan Coulter-Nile,Mumbai Indians,2020,1,0,1,0,1,0,2,8
837,Nathan Ellis,Punjab Kings,2022,1,0,1,0,1,0,0.75,0.75
10,Navdeep Saini,Rajasthan Royals,2022,0,0,1,0,1,0,0.75,2.6
198,Nicolas Pooran,Sunrisers Hyderabad,2022,1,0,0,1,1,0,1.5,10.75
0,Nikhil Shankar Naik,Kolkata Knight Riders,2020,0,0,0,1,0,0,0.2,0.2
60,Nitish Rana,Kolkata Knight Riders,2022,0,1,1,0,0,1,1,8
870,Noor Ahmad,Gujarat Titans,2022,1,0,1,0,0,0,0.3,0.3
529,Obed Mccoy,Rajasthan Royals,2022,1,0,1,0,1,0,0.75,0.75
702,Odean Smith,Punjab Kings,2022,1,1,1,0,1,0,1,6
182,Oshane Thomas,Rajasthan Royals,2020,1,0,1,0,0,0,0.5,0.5
241,Pat Cummins,Kolkata Knight Riders,2022,1,1,1,0,1,0,2,7.25
241,Pat Cummins,Kolkata Knight Riders,2020,1,1,1,0,1,0,2,15.5
226,Pavan Deshpande,Royal Challengers Bangalore,2020,0,1,1,0,0,0,0.2,0.2
26,Pawan Negi,Kolkata Knight Riders,2021,0,1,1,0,0,0,0.2,0.5
92,Piyush Chawla,Mumbai Indians,2021,0,0,1,0,1,0,1,2.4
92,Piyush Chawla,Chennai Super Kings,2020,0,0,1,0,1,0,2,6.75
2817,Prabhsimran Singh,Punjab Kings,2022,0,0,0,1,0,0,0.2,0.6
2817,Prabhsimran Singh,Kings XI Punjab,2020,0,0,0,1,0,0,0.2,0.55
252,Pradeep Sangwan,Gujarat Titans,2022,0,1,1,0,0,0,0.2,0.2
0,Prashant Solanki,Chennai Super Kings,2022,0,0,1,0,0,0,0.2,1.2
81,Prasidh Krishna,Rajasthan Royals,2022,0,0,1,0,1,0,1,10
2321,Pratham Singh,Kolkata Knight Riders,2022,0,1,0,0,0,0,0.2,0.2
244,Pravin Dubey,Delhi Capitals,2022,0,1,1,0,0,0,0.2,0.5
952,Pravin Tambe,Kolkata Knight Riders,2020,0,0,1,0,0,0,0.2,0.2
1978,Prerak Mankad,Punjab Kings,2022,0,1,1,0,0,0,0.2,0.2
204,Prince Balwant Rai Singh,Mumbai Indians,2020,0,1,1,0,0,0,0.2,0.2
227,Priyam Garg,Sunrisers Hyderabad,2022,0,1,0,0,0,1,0.2,0.2
227,Priyam Garg,Sunrisers Hyderabad,2020,0,1,0,0,0,1,1,1.9
106,Quinton De Kock,Lucknow Super Giants,2022,1,0,0,1,1,0,2,6.75
1988,R Samarth,Sunrisers Hyderabad,2022,0,1,0,0,0,0,0.2,0.2
191,R. Ashwin,Rajasthan Royals,2022,0,1,1,0,1,0,2,5
201,R. Sai Kishore,Gujarat Titans,2022,0,0,1,0,0,1,0.2,3
201,R. Sai Kishore,Chennai Super Kings,2020,0,0,1,0,0,0,0.2,0.2
2863,Rahul Buddhi,Mumbai Indians,2022,0,1,0,0,0,0,0.2,0.2
123,Rahul Chahar,Punjab Kings,2022,0,0,1,0,1,0,0.75,5.25
131,Rahul Tewatia,Gujarat Titans,2022,0,1,1,0,1,0,0.4,9
194,Rahul Tripathi,Sunrisers Hyderabad,2022,0,1,0,0,0,1,0.4,8.5
194,Rahul Tripathi,Kolkata Knight Riders,2020,0,1,0,0,0,0,0.4,0.6
0,Raj Angad Bawa,Punjab Kings,2022,0,1,1,0,0,0,0.2,2
1943,Rajat Patidar,Royal Challengers Bangalore,2021,0,1,0,0,0,0,0.2,0.2
2856,Rajvardhan Hangargekar,Chennai Super Kings,2022,0,1,1,0,0,0,0.3,1.5
2573,Ramandeep Singh,Mumbai Indians,2022,0,1,1,0,0,0,0.2,0.2
0,Ramesh Kumar,Kolkata Knight Riders,2022,0,1,0,0,0,0,0.2,0.2
0,Rasikh Dar,Kolkata Knight Riders,2022,0,0,1,0,0,0,0.2,0.2
402,Rassie Van Der Dussen,Rajasthan Royals,2022,1,1,0,0,1,0,1,1
213,Ravi Bishnoi,Kings XI Punjab,2020,0,0,1,0,1,0,1,2
388,Riley Meredith,Mumbai Indians,2022,1,0,1,0,1,0,1,1
388,Riley Meredith,Punjab Kings,2021,1,0,1,0,1,0,1,8
91,Rinku Singh,Kolkata Knight Riders,2022,0,1,0,0,0,0,0.2,0.55
2600,Ripal Patel,Delhi Capitals,2022,0,1,1,0,0,0,0.2,0.2
2600,Ripal Patel,Delhi Capitals,2021,0,1,1,0,0,0,0.2,0.2
1954,Rishi Dhawan,Punjab Kings,2022,0,1,1,0,0,0,0.5,0.55
151,Riyan Parag,Rajasthan Royals,2022,0,1,1,0,0,1,0.3,3.8
61,Robin Uthappa,Chennai Super Kings,2022,0,1,0,0,1,0,2,2
61,Robin Uthappa,Rajasthan Royals,2020,0,1,0,0,1,0,2,3
543,Romario Shepherd,Sunrisers Hyderabad,2022,1,1,1,0,1,0,0.75,7.75
450,Rovman Powell,Delhi Capitals,2022,1,1,0,0,1,0,0.75,2.8
279,Sachin Baby,Royal Challengers Bangalore,2021,0,1,0,0,0,0,0.2,0.2
20,Sam Billings,Kolkata Knight Riders,2022,1,0,0,1,1,0,2,2
20,Sam Billings,Delhi Capitals,2021,1,0,0,1,1,0,2,2
184,Sam Curran,Chennai Super Kings,2020,1,1,1,0,1,0,2,5.5
228,Sandeep Bavanaka,Sunrisers Hyderabad,2020,1,1,1,0,0,0,0.2,0.2
71,Sandeep Sharma,Punjab Kings,2022,0,0,1,0,0,0,0.5,0.5
223,Sanjay Yadav,Mumbai Indians,2022,0,1,1,0,0,0,0.2,0.5
223,Sanjay Yadav,Sunrisers Hyderabad,2020,0,1,1,0,0,0,0.2,0.2
190,Sarfaraz Khan,Delhi Capitals,2022,0,1,1,0,0,0,0.2,0.2
4450,Saurabh Dubey,Sunrisers Hyderabad,2022,0,0,1,0,0,0,0.2,0.2
2170,Saurabh Kumar,Punjab Kings,2021,0,1,1,0,0,0,0.2,0.2
199,Saurabh Tiwary,Mumbai Indians,2020,0,1,0,0,0,0,0.2,0.5
387,Sean Abbott,Sunrisers Hyderabad,2022,1,0,1,0,1,0,0.75,2.4
218,Shahbaz Ahamad,Royal Challengers Bangalore,2022,0,1,1,0,0,1,0.3,2.4
218,Shahbaz Ahamad,Royal Challengers Bangalore,2020,0,0,0,1,0,0,0.2,0.2
67,Shahbaz Nadeem,Lucknow Super Giants,2022,0,0,1,0,0,0,0.5,0.5
2333,Shahrukh Khan,Punjab Kings,2022,0,1,1,0,0,1,0.4,9
2333,Shahrukh Khan,Punjab Kings,2021,0,1,1,0,0,1,0.5,5.25
94,Shakib Al Hasan,Kolkata Knight Riders,2021,1,1,1,0,1,0,1.5,3.2
40,Shardul Thakur,Delhi Capitals,2022,0,0,1,0,1,0,2,10.75
157,Shashank Singh,Sunrisers Hyderabad,2022,0,1,1,0,0,0,0.2,0.2
216,Sheldon Cottrell,Kings XI Punjab,2020,1,0,1,0,1,0,2,8.5
1974,Sheldon Jackson,Kolkata Knight Riders,2022,0,0,0,1,0,0,0.3,0.6
1974,Sheldon Jackson,Kolkata Knight Riders,2021,0,0,0,1,0,0,0.2,0.2
125,Sherfane Rutherford,Royal Challengers Bangalore,2022,1,1,1,0,1,0,1,1
110,Shikhar Dhawan,Punjab Kings,2022,0,1,0,0,1,0,2,8.25
44,Shimron Hetmyer,Rajasthan Royals,2022,1,1,0,0,1,0,1.5,8.5
44,Shimron Hetmyer,Delhi Capitals,2020,1,1,0,0,1,0,1.5,7.75
35,Shivam Dube,Chennai Super Kings,2022,0,1,1,0,0,1,0.5,4
35,Shivam Dube,Rajasthan Royals,2021,0,1,1,0,0,1,0.5,4.4
80,Shivam Mavi,Kolkata Knight Riders,2022,0,1,1,0,0,1,0.4,7.25
196,Shreyas Gopal,Sunrisers Hyderabad,2022,0,0,1,0,0,0,0.2,0.75
142,Shreyas Iyer,Kolkata Knight Riders,2022,0,1,0,0,1,0,2,12.25
0,Shubham Garhwal,Rajasthan Royals,2022,0,1,1,0,0,0,0.2,0.2
98,Siddharth Kaul,Royal Challengers Bangalore,2022,0,0,1,0,0,0,0.75,0.75
2598,Simarjeet Singh,Chennai Super Kings,2022,0,0,1,0,0,0,0.2,0.2
170,Steven Smith,Delhi Capitals,2021,1,1,0,0,1,0,2,2.2
2116,Subhranshu Senapati,Chennai Super Kings,2022,0,1,0,0,0,0,0.2,0.2
2486,Suyash Prabhudesai,Royal Challengers Bangalore,2021,0,1,1,0,0,0,0.2,0.2
2486,Suyash Prabhudessai,Royal Challengers Bangalore,2022,0,1,1,0,0,0,0.2,0.3
85,Syed Khaleel Ahmed,Delhi Capitals,2022,0,0,1,0,0,1,0.5,5.25
59,T. Natarajan,Sunrisers Hyderabad,2022,0,0,1,0,1,0,1,4
207,Tajinder Dhillon,Kings XI Punjab,2020,0,1,1,0,0,0,0.2,0.2
2177,Tejas Baroka,Rajasthan Royals,2022,0,0,1,0,0,0,0.2,0.2
803,Tim David,Mumbai Indians,2022,1,1,1,0,1,0,0.4,8.25
243,Tim Seifert,Delhi Capitals,2022,1,0,0,1,0,0,0.5,0.5
52,Tim Southee,Kolkata Knight Riders,2022,1,0,1,0,1,0,1.5,1.5
236,Tom Banton,Kolkata Knight Riders,2020,1,1,0,0,0,0,0.2,1
233,Tom Curran,Delhi Capitals,2021,1,1,1,0,1,0,1,5.25
233,Tom Curran,Rajasthan Royals,2020,1,1,1,0,1,0,1,1
101,Trent Boult,Rajasthan Royals,2022,1,0,1,0,1,0,2,8
206,Tushar Deshpande,Chennai Super Kings,2022,0,0,1,0,0,0,0.2,0.2
206,Tushar Deshpande,Delhi Capitals,2020,0,0,1,0,0,0,0.2,0.2
531,Tymal Mills,Mumbai Indians,2022,1,0,1,0,1,0,1,1.5
37,Umesh Yadav,Kolkata Knight Riders,2022,0,0,1,0,1,0,2,2
37,Umesh Yadav,Delhi Capitals,2021,0,0,1,0,1,0,1,1
2304,Utkarsh Singh,Punjab Kings,2021,0,1,1,0,0,0,0.2,0.2
2829,Vaibhav Arora,Punjab Kings,2022,0,0,1,0,0,0,0.2,2
2829,Vaibhav Arora,Kolkata Knight Riders,2021,0,0,1,0,0,0,0.2,0.2
163,Varun Aaron,Gujarat Titans,2022,0,0,1,0,0,0,0.5,0.5
164,Varun Chakaravarthy,Kolkata Knight Riders,2020,0,1,1,0,1,0,1,4
1941,Venkatesh Iyer,Kolkata Knight Riders,2022,0,1,1,0,1,0,2,8
0,Vicky Ostwal,Delhi Capitals,2022,0,1,1,0,0,0,0.2,0.2
99,Vijay Shankar,Gujarat Titans,2022,0,1,1,0,1,0,0.5,1.4
220,Virat Singh,Sunrisers Hyderabad,2020,0,1,0,0,0,0,0.5,1.9
2096,Vishnu Vinod,Sunrisers Hyderabad,2022,0,0,0,1,0,0,0.2,0.5
2096,Vishnu Vinod,Delhi Capitals,2021,0,0,0,1,0,0,0.2,0.2
550,Wanindu Hasaranga,Royal Challengers Bangalore,2022,1,1,1,0,1,0,1,10.75
25,Washington Sundar,Sunrisers Hyderabad,2022,0,1,1,0,1,0,1.5,8.75
68,Wriddhiman Saha,Gujarat Titans,2022,0,0,0,1,1,0,1,1.9
2139,Writtick Chatterjee,Punjab Kings,2022,0,1,1,0,0,0,0.2,0.2
2267,Yash Dayal,Gujarat Titans,2022,0,0,1,0,0,0,0.2,3.2
0,Yash Dhull,Delhi Capitals,2022,0,1,1,0,0,0,0.2,0.5
230,Yashasvi Jaiswal,Rajasthan Royals,2020,0,1,1,0,0,1,1,2.4
2579,Yudhvir Charak,Mumbai Indians,2021,0,1,1,0,0,0,0.2,0.2
39,Yuzvendra Chahal,Rajasthan Royals,2022,0,0,1,0,1,0,2,6.5
